id,title,area,priority,estimate_days,depends_on,summary,acceptance,checklist
T0,Duyệt thiết kế và cập nhật ERD,design,critical-path,0.5,,"Nhóm duyệt 3 quyết định thiết kế rồi cập nhật ERD_LiveCommerce.docx. Phải xong trước T2 nếu không sẽ có người mở ERD cũ ra code theo schema sai.","File docx khớp với erd.dbml. Không còn chỗ nào ghi 3 phút hay ORDERS.sku_id.","Duyệt QĐ-1 TTL 2 tầng 5'/15' trần 30'|Duyệt QĐ-2 tách ORDER_ITEM bỏ ORDERS.sku_id và quantity|Duyệt QĐ-3 giữ tồn tại DRAFT và ở cả nhánh chờ duyệt|Chốt ngưỡng max_held_qty_per_account_per_session và max_qty_per_sku_per_order|Chốt chính sách giá khi flash sale (BẪY-07)|Xuất hình ERD từ dbdiagram.io hoặc StarUML vào diagrams/|Cập nhật docs/ERD/ERD_LiveCommerce.docx theo erd-changes.md mục 5"
T1,Docker Compose và skeleton FastAPI,infra,critical-path,0.5,,"Dựng môi trường chạy local. Cũng là task Tuần 1 số 1 trong Progress.md, đang chặn mọi thứ.","Người mới clone repo về chạy 3 lệnh là có API sống.","infra/docker-compose.yml: Postgres 16 healthcheck volume port map|services/commerce: FastAPI SQLAlchemy Alembic pytest|GET /health trả 200 và ping được DB|.env.example điền biến thật: DATABASE_URL HOLD_TTL_SOFT_SECONDS=300 HOLD_TTL_CONFIRM_SECONDS=900 HOLD_TTL_MAX_SECONDS=1800|README ghi cách chạy: docker compose up -d rồi alembic upgrade head rồi uvicorn"
T2,Migration schema,db,critical-path,1,"T0,T1","Viết migration Alembic cho 14 bảng. Sinh DDL gốc bằng dbdiagram.io Export > PostgreSQL từ erd.dbml rồi bổ sung tay các partial index.","alembic upgrade head rồi alembic downgrade base chạy sạch cả hai chiều.","4 bảng sửa: inventory pinned_product orders reservation|4 bảng thêm mới: order_item inventory_ledger outbox idempotency_key|5 bảng bổ sung cột: account sku live_session comment purchase_request|Enum order_status và reservation_status|CHECK on_hand_qty>=0 held_qty>=0 held_qty<=on_hand_qty|CHECK ck_res_owner trên reservation|Partial unique index: uq_open_draft uq_order_pr uq_active_hold_item uq_active_hold_pr|Index quét: idx_res_sweep idx_orders_expiry idx_outbox_unpub idx_pinned_window|Seed dữ liệu mẫu: 1 shop 3 SKU tồn 10/5/1|Kiểm tra Postgres >= 12 vì sellable_qty dùng GENERATED ALWAYS AS STORED"
T3,Repository giữ và trả tồn nguyên tử,db,critical-path,1,T2,"Trái tim của phần này. Viết SQL thuần không dùng ORM cho 4 hàm. Tuyệt đối không viết kiểu đọc rồi ghi, xem README.md mục 6.1.","Ca test #5 (20 request song song giành 1 món) và #13 (chạy release 2 lần) đều xanh.","hold_stock(sku_id qty): một câu UPDATE có điều kiện, rowcount==0 thì OutOfStockError|hold_up_to(sku_id qty): giữ một phần trả về số thực giữ được (BẪY-06)|release_stock(res_id reason): guard WHERE status='HELD' nên idempotent|commit_stock(res_id): trừ on_hand và held cùng lúc|Mọi hàm ghi inventory_ledger trong cùng transaction|Sort sku_id trước khi update nhiều dòng để chống deadlock"
T4,create_draft_order và API tạo đơn nháp,api,critical-path,1.5,T3,"Use case chính. Toàn bộ nằm trong một transaction: idempotency, validate, lấy hoặc tạo đơn nháp, giữ tồn, ghi đơn, ledger, outbox.","Ca test #1 #3 #5 #21 #30 xanh. Đặc biệt #30: một bình luận 2 SKU phải ra 1 đơn 2 dòng.","Toàn bộ nằm trong một transaction|Thứ tự: idempotency > validate > lấy/tạo đơn nháp > giữ tồn > ghi đơn > ledger > outbox|POST /api/v1/orders/draft nhận lines[] nhiều SKU trong 1 request|Lỗi trả đúng mã: OUT_OF_STOCK SESSION_NOT_LIVE SKU_INACTIVE ACCOUNT_CAP_EXCEEDED|Sinh orders.code dạng LIVE-YYYYMMDD-NNNN|Sinh confirm_token ngẫu nhiên đủ dài để không đoán được"
T5,Chống trùng 5 tầng,api,high,0.5,T4,"Livestream là webhook Meta retry cộng khách bấm nút 3 lần cộng shop bấm duyệt 2 lần. Cần nhiều tầng không phải một.","Ca test #8 #9 #10 #11 xanh.","Tầng 1: UNIQUE (session_id account_id client_message_id) trên comment|Tầng 2: UNIQUE (comment_id) trên purchase_request|Tầng 3: uq_order_pr|Tầng 4: header Idempotency-Key và bảng idempotency_key theo pattern Stripe|Tầng 5: uq_active_hold_item|Cờ suspected_dup khi cùng account cùng SKU cùng qty trong cửa sổ N giây"
T6,Gộp đơn theo khách và phiên,api,high,1,"T4,T5","Tính năng ăn tiền của TPOS/PosCake: 1 khách bình luận 5 lần trong phiên ra 1 đơn 5 dòng không phải 5 đơn.","Ca test #7 #17 #18 xanh.","INSERT ... ON CONFLICT (session_id account_id) WHERE status='DRAFT' DO NOTHING|Không chiếm được thì SELECT ... FOR UPDATE đơn nháp đang mở|Cùng SKU thì cộng dồn quantity không thêm dòng|Bình luận mới gia hạn TTL cho cả đơn"
T7,Đường trả tồn và extend_hold,api,high,1,T4,"Bốn lối ra khỏi trạng thái HELD. Lưu ý: xác nhận đơn KHÔNG trả tồn và KHÔNG trừ tồn, chỉ gỡ đồng hồ đếm ngược.","Ca test #2 #16 #25 xanh.","cancel_order(): khách hoặc shop hủy|confirm_order(): gỡ expires_at không đụng tồn|complete_order(): gọi commit_stock trừ tồn thật|extend_hold(): gọi ở 2 chỗ là khách mở link xác nhận và heartbeat form|Trần cứng 30 phút bằng LEAST(... created_at + interval '30 minutes')"
T8,Job quét đơn hết hạn,api,high,0.5,T7,"Chạy nền 30 giây một lần, trả tồn cho reservation quá hạn. Phải idempotent vì có thể chạy nhiều worker.","Ca test #12 #13 #14 #15 #26 xanh. Chạy 2 instance job cùng lúc không double-release.","Chạy 30 giây/lần|FOR UPDATE SKIP LOCKED và LIMIT 200|Mỗi reservation một transaction riêng|Bỏ qua đơn đã CONFIRMED|Ghi outbox('order.expired')"
T9,Nhánh chờ duyệt và chuyển chủ reservation,api,high,1,"T4,T7","Ba nhánh theo điểm tin cậy AI. Điểm mấu chốt: khi duyệt thì CHUYỂN CHỦ SỞ HỮU reservation, tuyệt đối không release rồi hold lại vì giữa hai thao tác có khe hở để người khác cướp hàng.","Ca test #23 #24 xanh. Trong #23 held_qty phải KHÔNG ĐỔI suốt quá trình duyệt.","3 nhánh theo confidence: >=0.85 tự chốt, 0.5-0.85 chờ duyệt, <0.5 chỉ log|Giữ tồn ngay cả khi chờ duyệt với TTL 5 phút|Duyệt: UPDATE trỏ lại chủ sở hữu, không release rồi hold lại|Từ chối: release_stock(reason='REJECTED_BY_STAFF') ngay|Màn hình hàng đợi cho nhân viên"
